x1,y1,x2,y2,pred_x2,pred_y2,error_px
1144.07,80.79,2496.74,184.84,2495.15,186.21,2.10
1073.46,251.73,2429.85,359.50,2427.66,361.88,3.23
1786.96,939.22,3150.78,980.09,3147.31,978.34,3.89
1463.65,1046.98,2794.03,1117.59,2795.60,1107.94,9.78
1419.06,1132.45,2753.15,1191.91,2748.91,1196.14,5.99
1463.65,1229.07,2779.16,1303.40,2793.19,1293.23,17.32
1404.20,1771.63,2723.42,1831.09,2725.39,1841.85,10.94
1400.48,2265.87,2715.99,2336.48,2715.08,2341.44,5.04
1511.96,2496.27,2827.47,2600.33,2826.47,2595.89,4.55
1363.32,2447.96,2678.83,2522.29,2675.38,2519.27,4.58
2013.64,1463.19,3407.19,1544.95,3409.11,1546.39,2.40
2121.41,1347.99,3548.40,1414.88,3545.78,1418.81,4.73
