x1,y1,x2,y2,pred_x2,pred_y2,error_px
393.41,916.92,1957.90,965.23,1955.11,970.88,6.30
478.88,1024.69,2024.79,1058.13,2018.84,1059.01,6.01
300.51,1151.04,1887.29,1177.05,1883.50,1178.70,4.14
215.04,1314.55,1812.97,1329.41,1819.52,1321.96,9.92
716.71,1518.93,2195.73,1500.35,2203.72,1495.54,9.32
623.81,1805.07,2128.84,1749.33,2125.13,1756.68,8.23
865.36,1749.33,2325.80,1719.60,2327.72,1712.56,7.30
724.15,1901.69,2206.88,1849.67,2206.53,1850.03,0.50
646.11,2503.71,2136.27,2403.37,2136.53,2404.39,1.05
1125.49,2641.20,2556.20,2600.33,2558.17,2609.70,9.58
1181.23,2849.31,2619.37,2838.16,2610.70,2831.85,10.72
1036.30,2187.84,2470.73,2146.96,2477.29,2146.23,6.60
